top,left,middle,bottom,right,current
581,581,628,679,549,0.46
580,580,628,679,549,0.51
577,577,628,679,548,0.56
575,575,628,679,548,0.46
572,572,628,679,548,0.42
572,570,628,679,549,0.42
569,569,629,679,550,0.61
567,567,629,679,549,0.56
565,565,628,680,548,0.61
565,564,628,679,549,0.56
563,563,628,679,548,0.66
562,562,628,679,546,0.56
562,562,628,679,546,0.42
563,563,628,679,547,0.61
563,563,628,679,547,0.37
570,571,643,693,559,0.51
563,563,629,679,548,0.61
612,612,640,681,597,0.76
612,612,639,680,597,0.71
622,622,650,692,608,0.66
612,612,639,680,598,0.71
612,612,640,681,598,0.86
612,612,639,680,598,0.56
612,612,639,680,598,0.76
612,612,640,680,598,0.71
612,612,639,680,598,0.81
612,613,640,681,599,0.81
613,612,639,680,599,0.61
612,612,639,680,598,0.76
612,612,639,680,599,0.66
614,612,640,680,599,0.61
612,612,640,681,599,0.71
615,612,639,680,599,0.81
612,612,639,681,599,0.61
612,612,640,680,599,0.66
626,626,654,696,613,0.66
613,612,640,681,599,0.61
624,624,652,693,609,0.61
612,612,640,680,598,0.66
613,613,640,681,598,0.71
613,612,640,680,598,0.66
612,612,640,680,598,0.66
612,612,640,680,598,0.76
613,613,640,680,599,0.76
613,614,640,681,599,0.81
613,612,640,680,600,0.81
612,612,640,680,599,0.81
612,612,640,680,599,0.86
612,612,640,680,599,0.86
612,612,640,680,599,0.81
613,613,640,680,599,0.86
613,613,640,680,600,0.56
613,613,640,681,600,0.66
623,624,651,692,610,0.56
613,613,640,680,600,0.71
613,614,640,680,601,0.51
613,613,640,680,600,0.76
613,613,640,680,600,0.76
613,613,640,680,600,0.71
613,613,640,680,601,0.66
613,613,640,681,601,0.71
613,613,640,680,601,0.66
612,613,640,680,601,0.76
613,613,640,680,601,0.86
613,613,640,681,601,0.86
614,614,640,681,604,0.66
614,614,640,680,604,0.76
613,614,641,681,604,0.56
613,613,640,680,604,0.76
613,614,640,681,604,0.86
613,612,640,680,604,0.81
621,621,653,694,616,0.56
621,621,655,696,618,0.71
617,617,653,694,617,0.61
614,614,652,692,616,0.76
602,602,640,680,605,0.9
600,600,640,681,605,0.86
597,597,640,680,605,0.76
595,595,640,680,606,0.95
593,593,640,681,606,0.81
590,589,639,680,607,0.81
588,587,638,679,606,0.71
585,584,638,678,605,0.81
582,582,637,677,605,0.71
580,580,637,677,604,0.81
577,577,636,677,604,0.76
575,575,636,677,603,0.81
572,572,636,677,602,0.76
570,570,635,676,601,0.76
567,567,635,676,601,0.76
565,565,634,675,600,0.76
562,562,634,675,600,0.76
560,560,634,675,599,0.81
557,557,633,674,598,0.81
555,555,633,674,598,0.81
552,552,632,674,597,0.76
550,550,632,673,597,0.81
547,547,632,673,596,0.81
545,545,631,672,595,0.76
542,542,631,672,595,0.76
540,540,630,672,594,0.76
537,537,630,671,593,0.76
535,535,630,671,593,0.76
532,532,629,670,592,0.76
530,530,629,670,592,0.76
527,527,629,670,591,0.76
525,525,628,669,590,0.76
522,522,628,669,590,0.76
520,520,628,669,589,0.76
517,517,627,668,588,0.76
515,515,627,668,588,0.76
512,512,627,668,587,0.76
510,510,626,667,586,0.76
507,507,626,667,586,0.76
505,505,625,666,585,0.76
502,502,625,666,585,0.76
500,500,625,666,584,0.76
497,497,624,665,583,0.76
495,495,624,665,583,0.76
492,492,623,665,582,0.76
490,490,623,664,581,0.76
487,487,623,664,581,0.76
485,485,622,664,580,0.76
482,482,622,663,579,0.76
480,480,622,663,579,0.76
477,477,621,663,578,0.76
475,475,621,662,577,0.76
472,472,621,662,577,0.76
470,470,620,661,576,0.76
467,467,620,661,575,0.76
465,465,620,661,575,0.76
462,462,619,660,574,0.76
460,460,619,660,574,0.76
457,457,619,660,573,0.76
455,455,618,659,572,0.76
452,452,618,659,572,0.76
450,450,618,659,571,0.76
447,447,617,658,570,0.76
445,445,617,658,570,0.76
442,442,617,658,569,0.76
440,440,616,657,568,0.76
437,437,616,657,568,0.76
435,435,616,657,567,0.76
432,432,615,656,566,0.76
430,430,615,656,566,0.76
427,427,615,656,565,0.76
425,425,614,655,564,0.76
422,422,614,655,564,0.76
420,420,614,655,563,0.76
417,417,613,654,562,0.76
415,415,613,654,562,0.76
412,412,613,654,561,0.76
410,410,612,653,560,0.76
407,407,612,653,560,0.76
405,405,612,653,559,0.76
402,402,611,652,558,0.76
400,400,611,652,558,0.76
397,397,611,652,557,0.76
395,395,610,651,556,0.76
392,392,610,651,556,0.76
390,390,610,651,555,0.76
387,387,609,650,554,0.76
385,385,609,650,554,0.76
382,382,609,650,553,0.76
380,380,608,649,552,0.76
377,377,608,649,552,0.76
375,375,608,649,551,0.76
372,372,607,648,550,0.76
370,370,607,648,550,0.76
367,367,607,648,549,0.76
365,365,606,647,548,0.76
362,362,606,647,548,0.76
360,360,606,647,547,0.76
357,357,605,646,546,0.76
355,355,605,646,546,0.76
352,352,605,646,545,0.76
350,350,604,645,544,0.76
347,347,604,645,544,0.76
345,345,604,645,543,0.76
342,342,603,644,542,0.76
340,340,603,644,542,0.76
337,337,603,644,541,0.76
335,335,602,643,540,0.76
332,332,602,643,540,0.76
330,330,602,643,539,0.76
327,327,601,642,538,0.76
325,325,601,642,538,0.76
322,322,601,642,537,0.76
320,320,600,641,536,0.76
317,317,600,641,536,0.76
592,592,641,681,608,0.76
597,597,641,681,608,0.76
600,600,641,681,608,0.71
603,603,641,681,608,0.71
606,605,641,681,608,0.71
607,607,641,681,608,0.76
609,609,640,681,608,0.66
622,622,653,693,619,0.56
612,612,641,681,608,0.66
613,613,641,681,608,0.76
613,615,641,681,608,0.76
614,614,641,681,608,0.71
614,614,641,681,609,0.9
615,615,641,681,609,0.81
615,615,641,681,609,0.61
615,614,640,681,608,0.71
615,615,641,680,609,0.76
627,627,653,694,620,0.66
615,615,641,681,609,0.76
615,615,641,681,609,0.81
615,615,641,681,609,0.76
615,615,641,681,609,0.9
615,615,641,681,609,0.76
615,615,641,681,609,0.81
615,615,641,681,610,0.95
615, ,681, ,609,0.9
615,615,641,681,609,0.76
615,615,641,681,608,0.86
615,615,641,681,607,0.9
615,615,641,681,605,0.76
625,625,651,692,614,0.76
615,615,640,681,601,0.81
615,615,639,681,598,0.76
627,629,652,686,593,0.9
615,615,637,681,589,1.05
615,615,635,680,584,0.9
615,615,633,681,579,0.9
627,627,642,694,585,0.76
615,615,627,681,568,0.81
615,615,623,681,564,1.05
615,615,619,681,560,0.9
615,615,615,681,557,0.9
615,615,611,681,556,0.86
615,615,607,681,556,0.9
615,615,603,681,556,0.9
615,615,601,681,556,0.86
615,615,599,681,556,0.71
615,615,599,681,557,0.81
615,615,598,681,557,0.86
615,615,598,681,557,0.81
615,615,598,681,557,0.95
615,615,598,681,558,0.9
615,615,598,681,558,0.86
615,615,598,681,558,0.9
615,615,598,681,559,0.9
615,615,598,681,559,0.95
615,615,599,681,561,0.81
615,615,598,681,561,0.9
615,615,598,681,562,1
615,615,599,681,565,0.9
625,625,610,692,577,0.71
615,615,607,681,580,0.81
615,615,610,681,585,0.56
615,615,614,681,590,0.81
614,614,618,681,594,0.66
626,626,634,694,609,0.71
614,615,626,681,603,0.81
614,615,635,681,611,0.71
615,615,637,681,612,0.76
615,615,638,681,613,0.95
615,615,641,687,621,0.66
615,615,640,681,613,0.71
615,615,641,681,613,0.76
615,615,641,681,613,0.66
615,615,641,681,613,0.81
614,614,641,681,613,0.86
614,614,641,681,613,0.95
615,614,641,681,613,0.86
614,615,641,681,614,0.32
615,615,641,681,610,0.27
627,627,654,694,622,0.9
615,615,641,681,610,0.81
615,615,641,681,610,0.76
615,615,641,681,610,0.76
615,615,641,681,610,0.86
615,615,641,681,610,0.76
615,615,641,681,611,0.86
629,621,644,682,610,0.86
615,615,641,681,610,0.71
615,615,642,681,610,0.86
615,615,641,681,610,0.95
615,615,642,681,610,0.9
615,615,641,681,610,0.81
615,615,641,681,610,0.81
615,615,641,681,610,0.86
625,625,652,693,620,0.76
614,614,641,681,609,0.95
614,614,641,681,610,0.95
615,615,641,681,610,1
615,615,641,681,610,1
615,615,641,681,610,1
615,615,641,681,610,1.05
615,614,641,681,610,0.95
614,615,641,681,610,0.9
